Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access
UK,Home Counties,F,12,R,149,23,147,2,Bus,25,0.37,33,Dancing,682,562,649,500,229,110
OZ,Western OZ,F,13,R,168,23,160,1,Bus,15,0.32,35,Gymnastics,1000,1000,1000,965,1,
OZ,Western OZ,F,11,R,135,21,140,1,Car,2,0.35,40,Gymnastics,468,1000,515,255,1000,1000
NZ,Taranaki,F,13,R,162,24,161,1,Car,5,0.375,0,Football/Soccer,500,,250,,,
USA,VA,F,17,L,164,25,162,3,Car,5,0.353,54,Baseball/Softball,500,90,52,156,38,800
USA,CA,F,16,R,164,19,157,3,Car,6,0.227,43,None,955,863,986,790,540,589
OZ,South OZ,F,14,R,153,27,143,1,Bus,15,0.34,29,None,586,568,758,421,1000,1000
UK,Home Counties,F,13,R,153,23,153,2,Walk,10,0.4,49,Dancing,761,809,830,761,657,952
OZ,Victoria,F,14,R,154,23,153,1,Bus,10,0.29,30,Netball,1000,805,1000,1000,941,1000
OZ,Victoria,F,12,R,149,23,137,2,Walk,20,0.64,35,Tennis,1000,1000,1000,1000,415,610
OZ,South OZ,F,17,R,164,22,159,1,Walk,35,0.32,31,Skateboarding/Rollerblading,1000,1000,1000,494,1,149
CA,Alberta,F,13,L,140,22,142,3,Car,3,0.401,45,Dancing,540,684,1000,658,412,401
UK,North West,F,13,R,162,23,164,3,Walk,30,0.45,24,Netball,1000,837,821,826,0,0
USA,WI,F,13,R,165,23,167,1,Bus,5,0.39,40,Other,813,807,626,540,807,765
CA,Ontario,F,11,R,147,24,147,2,Cycle,2,0.53,52,Football/Soccer,1000,1000,1000,1000,1000,1000
OZ,New South Wales,F,14,R,165,25,162,2,Car,5,0.28,27,Walking/Hiking,456,332,456,297,1000,1000
UK,East Midlands,F,12,R,158,23,159,1,Walk,20,0.28,38,Dancing,722,541,551,549,500,613
NZ,Northland,F,14,B,172,27,174,1,Bus,45,0.359,0,Other activities/sports,1000,,500,,,
OZ,Western OZ,F,11,R,142,20,136,1,Car,8,0.46,0,Athletics,498,486,492,492,527,521
CA,British Columbia,F,9,R,136,22,142,2,Car,7,1.22,43,Other activities/sports,471,1000,1000,374,53,134
USA,NJ,F,17,R,149,23,149,2,Car,5,0,33,None,501,100,1000,700,800,901
OZ,New South Wales,F,16,R,166,26,163,1,Bus,45,0.32,41,Athletics,799,622,492,468,1000,1000
USA,MI,F,15,R,156,21,167,1,Car,10,0.357,37,Other,503,503,503,503,583,861
CA,British Columbia,F,15,R,181,29,176,1,Bus,30,0.385,51,Other activities/sports,567,813,59,754,829,1000
OZ,Queensland,F,9,R,134,24,136,1,Car,10,0.53,57,Gymnastics,1000,1000,1000,1000,699,249
UK,South West,F,13,R,147,26,146,5,Walk,30,0.31,30,Dancing,770,382,831,586,396,873
CA,Quebec,F,15,R,163,23,153,2,Bus,10,0.405,86,Dancing,1000,1000,492,444,1000,1000
USA,SC,F,16,R,156,21,164,2,Car,7,0.409,60,Other,900,950,850,875,500,800
CA,Ontario,F,14,R,160,21,160,1,Car,2,0.311,40,Other activities/sports,471,449,481,481,513,572
CA,Ontario,F,13,R,159,25,161,1,Car,5,0.443,40,Tennis,1000,1000,1000,1000,481,481
CA,Ontario,F,12,R,150,23,150,1,Walk,15,0.406,38,Swimming,989,326,572,406,973,1000
