Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"OZ","Victoria","F","12","R","154","25","146","2","Car","12","0.56","51","Table Tennis","1","598","687","722","1","125",
"USA","NJ","F","15","R","170","27","163","1","Walk","10","0.361","0","Running/Jogging","503","743","342","","364","348",
"UK","North West","F","14","R","159","22","162","1","Bus","40","0.29","43","Dancing","714","843","851","816","216","302",
"NZ","Auckland","F","10","R","131","20","134","1","Car","5","0.619","0","Netball","750","","1000","","","",
"USA","AZ","F","17","R","153","22","160","1","Walk","10","0.3","30","Tennis","500","450","650","800","100","100",
"CA","Ontario","M","14","R","169","27","159","2","Walk","6","0.369","39","Other activities/sports","738","711","674","642","877","877",
"NZ","Otago","F","15","R","158","21","156","2","Bus","45","0.323","0","Football/Soccer","750","","500","","","",
"CA","Ontario","M","14","R","149","26","150","1","Car","10","0.489","46","Athletics","749","749","631","561","754","765",
"OZ","South OZ","M","17","R","192","29","194","1","Walk","1","0.34","30","Football/Soccer","385","101","1000","178","72","574",
"UK","West Midlands","M","10","R","134","12","102","1","Car","6","0.42","49","Football/Soccer","500","500","500","500","500","500",
"USA","HI","F","14","R","152","32","155","1","Car","60","0.341","35","Swimming","920","1000","600","","1000","1000",
"NZ","Waikato","F","12","R","160","23","164","2","Cycle","15","0.391","0","Cycling","1000","","1000","","","",
"UK","Home Counties","F","14","R","167","22","168","1","Walk","20","0","30","Other activities/sports","806","821","848","819","931","949",
"UK","Home Counties","M","13","R","169","26","167","4","Car","10","0.25","58","Swimming","548","1000","0","387","1000","1000",
"CA","Ontario","M","13","R","130","30","103","2","Bus","15","0.303","38","Baseball/Softball","1000","1000","759","893","1000","1000",
"OZ","New South Wales","F","10","R","147","24","156","1","Bus","15","0.37","84","Athletics","397","1000","1000","1000","184","167",
"CA","Ontario","F","10","R","156","20","156","6","Bus","30","0.313","49","Gymnastics","487","497","497","503","1000","1000",
"CA","Ontario","F","17","R","163","21","154","1","Car","10","0.486","31","Other activities/sports","513","519","920","738","877","936",
"USA","MT","F","17","L","157","23","157","2","Car","10","0.17","43","Football/Soccer","760","870","770","660","193","195",
"USA","MI","F","17","R","158","23","153","1","Car","11","0.39","33","None","529","353","385","","567","551",
"OZ","Tasmania","F","13","R","153","24","154","1","Car","8","0.44","51","Dancing","408","611","569","426","659","713",
"OZ","Victoria","M","13","B","172","24","169","1","Car","10","0.01","34","Other activities/sports","616","503","758","634","994","1000",
"NZ","Auckland","F","14","R","162","26","157","1","Bus","45","0.391","0","Swimming","500","","250","","","",
"UK","South West","F","15","R","167","25","170","2","Walk","20","0.37","46","Other activities/sports","651","617","365","736","913","933",
"NZ","Auckland","F","11","R","151","23","151","1","Car","5","0","0","Tennis","250","","250","","","",
"USA","IN","F","16","R","175","25","163","1","Bus","10","0.393","53","Other","600","650","50","15","40","150",
"USA","PA","M","16","L","170","25","170","2","Car","10","0.328","35","Skateboarding/Rollerblading","1000","900","900","900","500","100",
"NZ","Auckland","F","13","R","153","24","145","2","Bus","45","0.438","0","Netball","1000","","1000","","","",
"CA","Alberta","M","13","B","170","26","150","2","Car","20","0.36","30","Basketball","1000","1000","225","374","1000","1000",
"CA","Quebec","M","15","R","148","24","148","2","Car","45","0","47","Table Tennis","455","759","551","594","1000","1000",
"USA","UT","M","14","R","176","28","181","1","SkateBoarding/Rollerblading","15","0.266","39","Football (American)","668","684","765","","21","631",
"USA","FL","M","17","R","185","30","193","2","Car","25","0.415","44","Basketball","0","100","500","600","0","0",
"NZ","Wellington","F","12","R","162","25","156","1","Walk","15","0.516","0","Netball","500","","750","","","",
"USA","WI","F","9","R","135","19","136","1","Bus","30","0.437","0","Other","1000","139","497","","754","840",
"UK","North West","F","12","L","157","22","130","1","Car","10","0.29","35","Dancing","331","444","227","499","1000","1000",
"OZ","New South Wales","M","14","B","183","27","190","1","Bus","13","0.32","42","Basketball","686","1000","829","455","1000","1000",
"CA","Ontario","M","12","B","147","25","144","3","Bus","30","0.281","40","Hockey (Ice)","1000","1000","1000","1000","1000","1000",
"CA","Nova Scotia","M","17","R","183","28","186","2","Car","20","0.203","31","Hockey (Ice)","5","11","5","21","1000","1000",
"OZ","Tasmania","F","12","B","157","23","169","1","Walk","10","0.85","38","Netball","107","177","113","101","1000","716",
